"","Address","Date","Rent","Aprt_Type","Building_Type"
"171","777 N Air Depot Blvd, Oklahoma City, OK 73110","2026/01/01",1075,"1 Bed","Apartment"
"172","777 N Air Depot Blvd, Oklahoma City, OK 73110","2026/01/01",1100,"2 Beds","Apartment"
"173","777 N Air Depot Blvd, Oklahoma City, OK 73110","2026/01/01",1299,"3 Beds","Apartment"
"174","2820 General Pershing Blvd, Oklahoma City, OK 73107","2026/01/01",1003,"1 Bed","Apartment"
"175","2820 General Pershing Blvd, Oklahoma City, OK 73107","2026/01/01",1202,"2 Beds","Apartment"
"176","2820 General Pershing Blvd, Oklahoma City, OK 73107","2026/01/01",1380,"3 Beds","Apartment"
"177","4500 Cherry Hill Ln, Oklahoma City, OK 73135","2026/01/01",725,"1 Bed","Apartment"
"178","4500 Cherry Hill Ln, Oklahoma City, OK 73135","2026/01/01",820,"2 Beds","Apartment"
"179","8032 E Reno Ave, Oklahoma City, OK 73110","2026/01/01",750,"1 Bed","Apartment"
"180","8032 E Reno Ave, Oklahoma City, OK 73110","2026/01/01",850,"2 Beds","Apartment"
"181","4625 Tinker Diagonal St, Oklahoma City, OK 73115","2026/01/01",765,"1 Bed","Apartment"
"182","4625 Tinker Diagonal St, Oklahoma City, OK 73115","2026/01/01",975,"2 Beds","Apartment"
"183","4625 Tinker Diagonal St, Oklahoma City, OK 73115","2026/01/01",1200,"3 Beds","Apartment"
"184","5660 N May Ave, Oklahoma City, OK 73112","2026/01/01",860,"1 Bed","Apartment"
"185","5660 N May Ave, Oklahoma City, OK 73112","2026/01/01",1065,"2 Beds","Apartment"
"186","6345 E Reno Ave, Oklahoma City, OK 73110","2026/01/01",680,"Studio","Apartment"
"187","6345 E Reno Ave, Oklahoma City, OK 73110","2026/01/01",849,"1 Bed","Apartment"
"188","6345 E Reno Ave, Oklahoma City, OK 73110","2026/01/01",875,"2 Beds+","Apartment"
"189","2201 NW 122nd St, Oklahoma City, OK 73120","2026/01/01",601,"Studio","Apartment"
"190","2201 NW 122nd St, Oklahoma City, OK 73120","2026/01/01",603,"1 Bed","Apartment"
"191","2201 NW 122nd St, Oklahoma City, OK 73120","2026/01/01",737,"2 Beds","Apartment"
