"","Address","Date","Rent","Aprt_Type","Building_Type"
"154","1526 Centre St, Detroit, MI 48226","2026/01/01",1200,"2 Beds",NA
"155","4240 Cass Ave, Detroit, MI 48201","2026/01/01",1350,"Studio","Apartment"
"156","4240 Cass Ave, Detroit, MI 48201","2026/01/01",1450,"1 Bed","Apartment"
"157","12635 Memorial St, Detroit, MI 48227","2026/01/01",995,"1 Bed","Apartment"
"158","12635 Memorial St, Detroit, MI 48227","2026/01/01",1300,"2 Beds","Apartment"
"159","4501 Woodward Ave, Detroit, MI 48201","2026/01/01",1685,"1 Bed","Apartment"
"160","4501 Woodward Ave, Detroit, MI 48201","2026/01/01",1950,"2 Beds","Apartment"
"161","5203 Chrysler Dr, Detroit, MI 48202","2026/01/01",1025,"1 Bed","Apartment"
"162","5203 Chrysler Dr, Detroit, MI 48202","2026/01/01",1650,"3 Beds","Apartment"
"163","415 Clifford St, Detroit, MI 48226","2026/01/01",1099,"Studio","Apartment"
"164","415 Clifford St, Detroit, MI 48226","2026/01/01",1499,"1 Bed","Apartment"
"165","415 Clifford St, Detroit, MI 48226","2026/01/01",1899,"2 Beds","Apartment"
"166","1800 W Bethune St, Detroit, MI 48206","2026/01/01",1050,"1 Bed","Apartment"
"167","1800 W Bethune St, Detroit, MI 48206","2026/01/01",1500,"2 Beds","Apartment"
"168","2310 Cochrane St, Detroit, MI 48216","2026/01/01",1050,"Studio","Apartment"
"169","2310 Cochrane St, Detroit, MI 48216","2026/01/01",1440,"1 Bed","Apartment"
"170","750 Chene St, Detroit, MI 48207","2026/01/01",1045,"1 Bed",NA
"171","1935 Chene Ct, Detroit, MI 48207","2026/01/01",800,"Studio","Apartment"
"172","1935 Chene Ct, Detroit, MI 48207","2026/01/01",999,"1 Bed","Apartment"
"173","1301 Orleans St, Detroit, MI 48207","2026/01/01",824,"Studio","Apartment"
"174","1301 Orleans St, Detroit, MI 48207","2026/01/01",1092,"1 Bed","Apartment"
"175","1301 Orleans St, Detroit, MI 48207","2026/01/01",1440,"2 Beds+","Apartment"
"176","640 W Willis St, Detroit, MI 48201","2026/01/01",1000,"1 Bed","Apartment"
"177","640 W Willis St, Detroit, MI 48201","2026/01/01",1200,"2 Beds","Apartment"
"178","71 Garfield St, Detroit, MI 48201","2026/01/01",800,"Studio","Apartment"
"179","71 Garfield St, Detroit, MI 48201","2026/01/01",1048,"1 Bed","Apartment"
"180","71 Garfield St, Detroit, MI 48201","2026/01/01",1399,"2 Beds+","Apartment"
"181","885 Covington Dr, Detroit, MI 48203","2026/01/01",885,"Studio","Apartment"
"182","885 Covington Dr, Detroit, MI 48203","2026/01/01",900,"1 Bed","Apartment"
"183","885 Covington Dr, Detroit, MI 48203","2026/01/01",1150,"2 Beds","Apartment"
"184","320 E Grand Blvd, Detroit, MI 48207","2026/01/01",645,"Studio","Apartment"
"185","320 E Grand Blvd, Detroit, MI 48207","2026/01/01",875,"1 Bed","Apartment"
"186","320 E Grand Blvd, Detroit, MI 48207","2026/01/01",1095,"2 Beds","Apartment"
"187","80 E Hancock St, Detroit, MI 48201","2026/01/01",720,"2 Beds",NA
"188","780 Town Center Dr, Dearborn, MI 48126","2026/01/01",1250,"Studio","Apartment"
"189","780 Town Center Dr, Dearborn, MI 48126","2026/01/01",1300,"1 Bed","Apartment"
"190","780 Town Center Dr, Dearborn, MI 48126","2026/01/01",900,"2 Beds+","Apartment"
"191","25010 W 8 Mile Rd, Southfield, MI 48033","2026/01/01",1000,"1 Bed","Apartment"
"192","25010 W 8 Mile Rd, Southfield, MI 48033","2026/01/01",1365,"2 Beds","Apartment"
"193","92 E Forest Ave, Detroit, MI 48201","2026/01/01",1100,"Studio","Apartment"
"194","92 E Forest Ave, Detroit, MI 48201","2026/01/01",1600,"1 Bed","Apartment"
"195","664 W Alexandrine St, Detroit, MI 48201","2026/01/01",1099,"Studio","Apartment"
"196","664 W Alexandrine St, Detroit, MI 48201","2026/01/01",1415,"1 Bed","Apartment"
"197","664 W Alexandrine St, Detroit, MI 48201","2026/01/01",1825,"2 Beds","Apartment"
"198","36 Mount Vernon St, Detroit, MI 48202","2026/01/01",2100,"2 Beds",NA
"NA.1",NA,NA,NA,NA,NA
"200","624 Charlotte St, Detroit, MI 48201","2026/01/01",1000,"Studio","Apartment"
"201","624 Charlotte St, Detroit, MI 48201","2026/01/01",1115,"1 Bed","Apartment"
"202","2135 Hubbard St, Detroit, MI 48209","2026/01/01",975,"1 Bed",NA
"203","1533 Ash St, Detroit, MI 48208","2026/01/01",1175,"1 Bed","Apartment"
"204","1533 Ash St, Detroit, MI 48208","2026/01/01",1250,"2 Beds","Apartment"
"205","12901-12935 Burt Rd, Detroit, MI 48223","2026/01/01",750,"2 Beds",NA
"NA.2",NA,NA,NA,NA,NA
