"","Address","Date","Rent","Aprt_Type","Building_Type"
"282","300 Massachusetts Ave NW, Washington, DC 20001","2026/01/01",2940,"2 Beds","Apartment"
"283","1336 Missouri Ave NW, Washington, DC 20011","2026/01/01",1899,"1 Bed","Apartment"
"284","1336 Missouri Ave NW, Washington, DC 20011","2026/01/01",2299,"2 Beds","Apartment"
"285","529 G St SE, Washington, DC 20003","2026/01/01",1090,"2 Beds",NA
"286","1301 U St NW, Washington, DC 20009","2026/01/01",2140,"1 Bed","Apartment"
"287","1301 U St NW, Washington, DC 20009","2026/01/01",3374,"2 Beds","Apartment"
"288","3133 Connecticut Ave NW, Washington, DC 20008","2026/01/01",2145,"Studio","Apartment"
"289","3133 Connecticut Ave NW, Washington, DC 20008","2026/01/01",3169,"1 Bed","Apartment"
"290","3133 Connecticut Ave NW, Washington, DC 20008","2026/01/01",3815,"2 Beds","Apartment"
"291","2112 New Hampshire Ave NW, Washington, DC 20009","2026/01/01",1699,"Studio","Apartment"
"292","2112 New Hampshire Ave NW, Washington, DC 20009","2026/01/01",2633,"1 Bed","Apartment"
"293","1650 Harvard St NW, Washington, DC 20009","2026/01/01",5750,"1 Bed",NA
"294","1100 1st St SE, Washington, DC 20003","2026/01/01",1985,"Studio","Apartment"
"295","1100 1st St SE, Washington, DC 20003","2026/01/01",1727,"1 Bed","Apartment"
"296","1100 1st St SE, Washington, DC 20003","2026/01/01",2310,"2 Beds","Apartment"
"297","3130 Wisconsin Ave NW, Washington, DC 20016","2026/01/01",1600,"Studio","Apartment"
"298","3130 Wisconsin Ave NW, Washington, DC 20016","2026/01/01",1700,"1 Bed","Apartment"
"299","1160 1st St NE, Washington, DC 20002","2026/01/01",1810,"Studio","Apartment"
"300","1160 1st St NE, Washington, DC 20002","2026/01/01",2085,"1 Bed","Apartment"
"301","1160 1st St NE, Washington, DC 20002","2026/01/01",2655,"2 Beds","Apartment"
"302","2323 Sherman Ave NW, Washington, DC 20001","2026/01/01",1717,"Studio","Apartment"
"303","2323 Sherman Ave NW, Washington, DC 20001","2026/01/01",1939,"1 Bed","Apartment"
"304","2323 Sherman Ave NW, Washington, DC 20001","2026/01/01",3051,"2 Beds","Apartment"
"305","64 H St SW, Washington, DC 20024","2026/01/01",1761,"Studio","Apartment"
"306","64 H St SW, Washington, DC 20024","2026/01/01",2108,"1 Bed","Apartment"
"307","64 H St SW, Washington, DC 20024","2026/01/01",2699,"2 Beds","Apartment"
"308","318 I St NE, Washington, DC 20002","2026/01/01",1835,"Studio","Apartment"
"309","318 I St NE, Washington, DC 20002","2026/01/01",1995,"1 Bed","Apartment"
"310","318 I St NE, Washington, DC 20002","2026/01/01",2880,"2 Beds","Apartment"
"311","625 Monroe St NE, Washington, DC 20017","2026/01/01",1636,"Studio","Apartment"
"312","625 Monroe St NE, Washington, DC 20017","2026/01/01",2084,"1 Bed","Apartment"
"313","625 Monroe St NE, Washington, DC 20017","2026/01/01",2499,"2 Beds","Apartment"
"314","222 M St SW, Washington, DC 20024","2026/01/01",1815,"Studio","Apartment"
"315","222 M St SW, Washington, DC 20024","2026/01/01",2050,"1 Bed","Apartment"
"316","222 M St SW, Washington, DC 20024","2026/01/01",2660,"2 Beds","Apartment"
"317","2122 Massachusetts Ave NW, Washington, DC 20008","2026/01/01",1450,"Studio","Apartment"
"318","2122 Massachusetts Ave NW, Washington, DC 20008","2026/01/01",2035,"1 Bed","Apartment"
"319","2122 Massachusetts Ave NW, Washington, DC 20008","2026/01/01",2975,"2 Beds","Apartment"
"320","1005 1st St NE, Washington, DC 20002","2026/01/01",1730,"Studio","Apartment"
"321","1005 1st St NE, Washington, DC 20002","2026/01/01",2163,"1 Bed","Apartment"
"322","1005 1st St NE, Washington, DC 20002","2026/01/01",3430,"2 Beds","Apartment"
