"","Address","Date","Rent","Aprt_Type","Building_Type"
"167","1261 NW Overton St, Portland, OR 97209","2026/01/01",1555,"1 Bed","Apartment"
"168","1261 NW Overton St, Portland, OR 97209","2026/01/01",2050,"2 Beds","Apartment"
"169","3124-3234 SE 136th Ave, Portland, OR 97236","2026/01/01",1397,"2 Beds",NA
"170","931 NW 11th Ave, Portland, OR 97209","2026/01/01",1437,"Studio","Apartment"
"171","931 NW 11th Ave, Portland, OR 97209","2026/01/01",1728,"1 Bed","Apartment"
"172","931 NW 11th Ave, Portland, OR 97209","2026/01/01",2413,"2 Beds","Apartment"
"173","1410 SW Broadway, Portland, OR 97201","2026/01/01",875,"2 Beds",NA
"174","1417 SW 10th Ave, Portland, OR 97201","2026/01/01",975,"Studio","Apartment"
"175","1417 SW 10th Ave, Portland, OR 97201","2026/01/01",1400,"1 Bed","Apartment"
"176","555 NW Park Ave, Portland, OR 97209","2026/01/01",1479,"Studio","Apartment"
"177","555 NW Park Ave, Portland, OR 97209","2026/01/01",2190,"1 Bed","Apartment"
"178","5819 NE Glisan St, Portland, OR 97213","2026/01/01",2100,"Studio","Apartment"
"179","5819 NE Glisan St, Portland, OR 97213","2026/01/01",1607,"1 Bed","Apartment"
"180","12345 SE Fuller Rd, Portland, OR 97222","2026/01/01",1445,"1 Bed",NA
"181","1976 NW Pettygrove St, Portland, OR 97209","2026/01/01",1245,"Studio","Apartment"
"182","1976 NW Pettygrove St, Portland, OR 97209","2026/01/01",1425,"1 Bed","Apartment"
"183","5132 SW Slavin Rd, Portland, OR 97239","2026/01/01",1030,"Studio","Apartment"
"184","5132 SW Slavin Rd, Portland, OR 97239","2026/01/01",1575,"1 Bed","Apartment"
"185","5132 SW Slavin Rd, Portland, OR 97239","2026/01/01",1475,"2 Beds+","Apartment"
"186","123 NW 12th Ave, Portland, OR 97209","2026/01/01",1477,"1 Bed","Apartment"
"187","123 NW 12th Ave, Portland, OR 97209","2026/01/01",2185,"2 Beds","Apartment"
"188","1450 N Prescott St, Portland, OR 97217","2026/01/01",1275,"Studio","Apartment"
"189","1450 N Prescott St, Portland, OR 97217","2026/01/01",1525,"1 Bed","Apartment"
"190","1450 N Prescott St, Portland, OR 97217","2026/01/01",2140,"2 Beds","Apartment"
"191","3750 S River Pky, Portland, OR 97239","2026/01/01",1430,"1 Bed","Apartment"
"192","3750 S River Pky, Portland, OR 97239","2026/01/01",2301,"2 Beds","Apartment"
"193","3750 S River Pky, Portland, OR 97239","2026/01/01",3770,"3 Beds","Apartment"
"194","1200 NW Marshall St, Portland, OR 97209","2026/01/01",1436,"Studio","Apartment"
"195","1200 NW Marshall St, Portland, OR 97209","2026/01/01",1534,"1 Bed","Apartment"
"196","1200 NW Marshall St, Portland, OR 97209","2026/01/01",2279,"2 Beds","Apartment"
"197","910 N Harbour Dr, Portland, OR 97217","2026/01/01",1525,"1 Bed","Apartment"
"198","910 N Harbour Dr, Portland, OR 97217","2026/01/01",1725,"2 Beds","Apartment"
"199","5745 SW Oleson Rd, Portland, OR 97225","2026/01/01",1649,"1 Bed","Apartment"
"200","5745 SW Oleson Rd, Portland, OR 97225","2026/01/01",1949,"2 Beds","Apartment"
"201","304 NE Multnomah St, Portland, OR 97232","2026/01/01",1350,"1 Bed","Apartment"
"202","304 NE Multnomah St, Portland, OR 97232","2026/01/01",2025,"2 Beds","Apartment"
"203","222 SW Harrison St, Portland, OR 97201","2026/01/01",1416,"1 Bed","Apartment"
"204","222 SW Harrison St, Portland, OR 97201","2026/01/01",2001,"2 Beds","Apartment"
"205","222 SW Harrison St, Portland, OR 97201","2026/01/01",2395,"3 Beds","Apartment"
"206","124 NE 3rd Ave, Portland, OR 97232","2026/01/01",1750,"1 Bed","Apartment"
"207","124 NE 3rd Ave, Portland, OR 97232","2026/01/01",2350,"2 Beds","Apartment"
"208","2220 NW Front Ave, Portland, OR 97209","2026/01/01",1316,"Studio","Apartment"
"209","2220 NW Front Ave, Portland, OR 97209","2026/01/01",1723,"1 Bed","Apartment"
"210","2220 NW Front Ave, Portland, OR 97209","2026/01/01",2131,"2 Beds","Apartment"
"211","434 SW College St, Portland, OR 97201","2026/01/01",1599,"1 Bed","Apartment"
"212","434 SW College St, Portland, OR 97201","2026/01/01",999,"2 Beds","Apartment"
"213","434 SW College St, Portland, OR 97201","2026/01/01",799,"3 Beds+","Apartment"
"214","1811 SW River Dr, Portland, OR 97201","2026/01/01",1258,"Studio","Apartment"
"215","1811 SW River Dr, Portland, OR 97201","2026/01/01",1333,"1 Bed","Apartment"
"216","1811 SW River Dr, Portland, OR 97201","2026/01/01",2227,"2 Beds+","Apartment"
"217","1115 SW Market St, Portland, OR 97201","2026/01/01",1575,"2 Beds+",NA
"218","2112 NW Quimby St, Portland, OR 97210","2026/01/01",1240,"Studio","Apartment"
"219","2112 NW Quimby St, Portland, OR 97210","2026/01/01",1495,"1 Bed","Apartment"
"220","2112 NW Quimby St, Portland, OR 97210","2026/01/01",2575,"2 Beds+","Apartment"
"221","4940 S Landing Dr, Portland, OR 97239","2026/01/01",1315,"Studio","Apartment"
"222","4940 S Landing Dr, Portland, OR 97239","2026/01/01",1355,"1 Bed","Apartment"
"223","4940 S Landing Dr, Portland, OR 97239","2026/01/01",2150,"2 Beds","Apartment"
"224","878 N Fremont St, Portland, OR 97227","2026/01/01",1371,"Studio","Apartment"
"225","878 N Fremont St, Portland, OR 97227","2026/01/01",1599,"1 Bed","Apartment"
"226","878 N Fremont St, Portland, OR 97227","2026/01/01",2495,"2 Beds","Apartment"
"227","2621 NE 7th Ave, Portland, OR 97212","2026/01/01",1474,"Studio","Apartment"
"228","2621 NE 7th Ave, Portland, OR 97212","2026/01/01",1527,"1 Bed","Apartment"
"229","2621 NE 7th Ave, Portland, OR 97212","2026/01/01",2452,"2 Beds","Apartment"
"230","7428 N Charleston Ave, Portland, OR 97203","2026/01/01",1525,"2 Beds",NA
"231","2390 SE Hawthorne Blvd, Portland, OR 97214","2026/01/01",1399,"Studio","Apartment"
"232","2390 SE Hawthorne Blvd, Portland, OR 97214","2026/01/01",1375,"1 Bed","Apartment"
"233","2031 SW 10th Ave, Portland, OR 97201","2026/01/01",895,"1 Bed",NA
"234","310 SE 12th Ave, Portland, OR 97214","2026/01/01",1599,"1 Bed",NA
"235","8220 SE 6th Ave, Portland, OR 97202","2026/01/01",1550,"1 Bed",NA
"236","1818 SW 4th Ave, Portland, OR 97201","2026/01/01",1300,"Studio","Apartment"
"237","1818 SW 4th Ave, Portland, OR 97201","2026/01/01",1664,"1 Bed","Apartment"
"238","1818 SW 4th Ave, Portland, OR 97201","2026/01/01",2161,"2 Beds+","Apartment"
"239","10306 SE Main St, Milwaukie, OR 97222","2026/01/01",1345,"Studio","Apartment"
"240","10306 SE Main St, Milwaukie, OR 97222","2026/01/01",1692,"1 Bed","Apartment"
"241","10306 SE Main St, Milwaukie, OR 97222","2026/01/01",2345,"2 Beds","Apartment"
"242","500 W Columbia Way, Vancouver, WA 98660","2026/01/01",1475,"Studio","Apartment"
"243","500 W Columbia Way, Vancouver, WA 98660","2026/01/01",1875,"1 Bed","Apartment"
"244","500 W Columbia Way, Vancouver, WA 98660","2026/01/01",3275,"2 Beds+","Apartment"
"245","1110 W Columbia Way, Vancouver, WA 98660","2026/01/01",1549,"Studio","Apartment"
"246","1110 W Columbia Way, Vancouver, WA 98660","2026/01/01",1800,"1 Bed","Apartment"
"247","1110 W Columbia Way, Vancouver, WA 98660","2026/01/01",2574,"2 Beds","Apartment"
"248","411 Columbia St, Vancouver, WA 98660","2026/01/01",1582,"Studio","Apartment"
"249","411 Columbia St, Vancouver, WA 98660","2026/01/01",1582,"1 Bed","Apartment"
"250","411 Columbia St, Vancouver, WA 98660","2026/01/01",2944,"2 Beds","Apartment"
"251","1 Jefferson Pky, Lake Oswego, OR 97035","2026/01/01",1316,"1 Bed","Apartment"
"252","1 Jefferson Pky, Lake Oswego, OR 97035","2026/01/01",1469,"2 Beds","Apartment"
"253","1 Jefferson Pky, Lake Oswego, OR 97035","2026/01/01",2647,"3 Beds+","Apartment"
"254","1500 SW Pleasant View Dr, Gresham, OR 97080","2026/01/01",1438,"1 Bed","Apartment"
"255","1500 SW Pleasant View Dr, Gresham, OR 97080","2026/01/01",1395,"2 Beds","Apartment"
"256","700 Waterfront Way, Vancouver, WA 98660","2026/01/01",1500,"Studio","Apartment"
"257","700 Waterfront Way, Vancouver, WA 98660","2026/01/01",1975,"1 Bed","Apartment"
"258","700 Waterfront Way, Vancouver, WA 98660","2026/01/01",3199,"2 Beds","Apartment"
"259","636 W 6th St, Vancouver, WA 98660","2026/01/01",1500,"Studio","Apartment"
"260","636 W 6th St, Vancouver, WA 98660","2026/01/01",1650,"1 Bed","Apartment"
"261","636 W 6th St, Vancouver, WA 98660","2026/01/01",2250,"2 Beds","Apartment"
"262","11974 SW 72nd Ave, Tigard, OR 97223","2026/01/01",1426,"Studio","Apartment"
"263","11974 SW 72nd Ave, Tigard, OR 97223","2026/01/01",1658,"1 Bed","Apartment"
"264","11974 SW 72nd Ave, Tigard, OR 97223","2026/01/01",1808,"2 Beds","Apartment"
"265","2330 NW Raleigh St, Portland, OR 97210","2026/01/01",1595,"Studio","Apartment"
"266","2330 NW Raleigh St, Portland, OR 97210","2026/01/01",1795,"1 Bed","Apartment"
"267","1411 NW Quimby St, Portland, OR 97209","2026/01/01",1615,"1 Bed","Apartment"
"268","1411 NW Quimby St, Portland, OR 97209","2026/01/01",2232,"2 Beds","Apartment"
"269","20554 NW Lapine Way, Portland, OR 97229","2026/01/01",1995,"2 Beds",NA
"270","1515 NW 21st Ave, Portland, OR 97210","2026/01/01",1565,"Studio","Apartment"
"271","1515 NW 21st Ave, Portland, OR 97210","2026/01/01",1605,"1 Bed","Apartment"
"272","1515 NW 21st Ave, Portland, OR 97210","2026/01/01",2395,"2 Beds","Apartment"
"273","15 NW Park Ave, Portland, OR 97209","2026/01/01",1660,"2 Beds",NA
"274","1940 NW 25th Ave, Portland, OR 97210","2026/01/01",1855,"1 Bed","Apartment"
"275","1940 NW 25th Ave, Portland, OR 97210","2026/01/01",2200,"2 Beds","Apartment"
"276","10267-10275 SE 66th Ave, Portland, OR 97222","2026/01/01",1749,"2 Beds",NA
"277","25 N Fargo St, Portland, OR 97227","2026/01/01",1195,"Studio","Apartment"
"278","25 N Fargo St, Portland, OR 97227","2026/01/01",1425,"1 Bed","Apartment"
"279","2209 NW Everett St, Portland, OR 97210","2026/01/01",1195,"Studio","Apartment"
"280","2209 NW Everett St, Portland, OR 97210","2026/01/01",1225,"1 Bed","Apartment"
"281","1459 SE Ankeny St, Portland, OR 97214","2026/01/01",2100,"1 Bed",NA
"282","4725 SE Division St, Portland, OR 97206","2026/01/01",1225,"1 Bed",NA
"283","4242 NE Halsey St, Portland, OR 97213","2026/01/01",1255,"Studio","Apartment"
"284","4242 NE Halsey St, Portland, OR 97213","2026/01/01",1650,"1 Bed","Apartment"
"285","4242 NE Halsey St, Portland, OR 97213","2026/01/01",2150,"2 Beds","Apartment"
"286","5510 N Denver Ave, Portland, OR 97217","2026/01/01",1350,"2 Beds",NA
"287","3158 SW 12th Ave, Portland, OR 97239","2026/01/01",1325,"Studio","Apartment"
"288","3158 SW 12th Ave, Portland, OR 97239","2026/01/01",2210,"2 Beds","Apartment"
"289","7360 SW Barbur Blvd, Portland, OR 97219","2026/01/01",1281,"2 Beds",NA
"290","14800 NW Cornell Rd, Portland, OR 97229","2026/01/01",1475,"1 Bed","Apartment"
"291","14800 NW Cornell Rd, Portland, OR 97229","2026/01/01",1645,"2 Beds","Apartment"
"292","5718-5856 SW Beaverton-hillsdale Hwy, Portland, OR 97221","2026/01/01",1415,"1 Bed","Apartment"
"293","5718-5856 SW Beaverton-hillsdale Hwy, Portland, OR 97221","2026/01/01",2295,"3 Beds","Apartment"
"NA",NA,NA,NA,NA,NA
"295","1030-1030 SW Jefferson St, Portland, OR 97201","2026/01/01",1328,"Studio","Apartment"
